,movie_name,movie_year,movie_rating,movie_metascore,votes
0,Avengers: Infinity War,2018,8.5,68        ,774415
1,Black Panther,2018,7.3,88        ,581329
2,Deadpool 2,2018,7.7,66        ,450189
3,Bohemian Rhapsody,2018,8.0,49        ,423269
4,A Quiet Place,2018,7.5,82        ,380326
5,Ready Player One,2018,7.5,64        ,342615
6,Aquaman,2018,7.0,55        ,337306
7,Venom,2018,6.7,35        ,332135
8,Green Book,2018,8.2,69        ,322030
9,Spider-Man: Into the Spider-Verse,2018,8.4,87        ,317533
10,A Star Is Born,2018,7.7,88        ,308290
11,Ant-Man and the Wasp,2018,7.1,70        ,286867
12,Mission: Impossible - Fallout,2018,7.7,86        ,272109
13,Solo: A Star Wars Story,2018,6.9,62        ,270335
14,Annihilation,2018,6.9,79        ,263600
15,Bird Box,2018,6.6,51        ,258338
16,Jurassic World: Fallen Kingdom,2018,6.2,51        ,247997
17,Incredibles 2,2018,7.6,80        ,233352
18,Hereditary,2018,7.3,87        ,208258
19,Fantastic Beasts: The Crimes of Grindelwald,2018,6.6,52        ,202321
20,Game Night,2018,6.9,66        ,190740
21,BlacKkKlansman,2018,7.5,83        ,190310
22,Tomb Raider,2018,6.3,48        ,181839
23,Ocean's Eight,2018,6.2,61        ,169569
24,The Favourite,2018,7.6,91        ,157618
25,Red Sparrow,2018,6.6,53        ,155688
26,First Man,2018,7.3,84        ,152084
27,Upgrade,2018,7.5,67        ,136667
28,The Meg,2018,5.7,46        ,135670
29,Rampage,2018,6.1,45        ,133525
30,Roma,2018,7.7,96        ,130240
31,Isle of Dogs,2018,7.9,82        ,128285
32,Crazy Rich Asians,2018,6.9,74        ,125353
33,Searching,2018,7.6,71        ,124890
34,Bumblebee,2018,6.8,66        ,124518
35,Ralph Breaks the Internet: Wreck-It Ralph 2,2018,7.1,71        ,119253
36,Bad Times at the El Royale,2018,7.1,60        ,118786
37,The Equalizer 2,2018,6.7,50        ,118607
38,Sicario 2: Soldado,2018,7.1,61        ,115058
39,A Simple Favor,2018,6.8,67        ,113141
40,The Ballad of Buster Scruggs,2018,7.3,79        ,109931
41,The Predator,2018,5.4,48        ,109924
42,Halloween,2018,6.6,67        ,108828
43,The Nun,2018,5.3,46        ,108580
44,Vice,2018,7.2,61        ,107855
45,The Maze Runner: The Death Cure,2018,6.2,50        ,104006
